hgnc_symbol,affected_region_count,chromosome_count,maximum_sample_count,total_annotation_records,present_in_cancer_gene_census,census_tier,role_in_cancer,tumour_types_somatic,tumour_types_germline,mutation_types
ERCC4,44,1,3,44,TRUE,1,TSG,,"skin basal cell, skin squamous cell, melanoma","Mis, N, F"
KMT2B,44,1,4,44,FALSE,,,,,
CEBPA,43,1,4,43,TRUE,1,TSG,"AML, MDS",,"Mis, N, F"
CEP89,43,1,4,43,TRUE,2,fusion,Spitzoid tumour,,T
IL21R,43,1,3,43,TRUE,1,fusion,NHL,,T
PALB2,43,1,3,43,TRUE,1,TSG,,"Wilms tumour, medulloblastoma, AML ,breast","F, N, Mis"
CLP1,42,1,2,42,TRUE,2,fusion,AML,,T
COL5A2,42,1,4,42,FALSE,,,,,
NCOA2,42,1,3,42,TRUE,1,"oncogene, fusion","AML, chondrosarcoma, rhabdomyosarcoma",,T
SDHAF2,42,1,2,42,TRUE,1,TSG,,paraganglioma,M
SF3B1,42,1,4,42,TRUE,1,oncogene,myelodysplastic syndrome,,Mis
HOXD11,41,1,4,41,TRUE,1,"oncogene, fusion",AML,,T
HOXD13,41,1,4,41,TRUE,1,"oncogene, fusion",AML*,,T
MALAT1,41,1,2,41,TRUE,2,"oncogene, TSG, fusion","renal cell carcinoma (childhood epithelioid), lung",,T
NFE2L2,41,1,4,41,TRUE,1,"oncogene, TSG","NSCLC, HNSCC",,Mis
PDCD2L,41,1,4,41,FALSE,,,,,
DNMT3A,40,1,3,40,TRUE,1,TSG,AML,,"Mis, F, N, S"
LSM14A,40,1,4,40,TRUE,2,fusion,Spitzoid tumour,,T
NCOA1,40,1,3,40,TRUE,1,fusion,alveolar rhabdomyosarcoma,,T
FUS,39,1,3,39,TRUE,1,"TSG, fusion","liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma",,T
NUMA1,39,1,4,39,TRUE,1,fusion,APL,,T
POT1,39,1,3,39,TRUE,1,TSG,CLL,,"Mis, N"
CHN1,38,1,3,38,FALSE,,,,,
EZH2,38,1,3,38,TRUE,1,"oncogene, TSG",DLBCL,,Mis
KMT2C,38,1,3,38,TRUE,1,TSG,medulloblastoma,,N
MNX1,38,1,4,38,TRUE,2,fusion,AML,,T
MYCN,38,1,3,38,TRUE,1,oncogene,"neuroblastoma, Wilms tumour",,"A, Mis"
RUNX1T1,38,1,4,38,TRUE,1,"oncogene, TSG, fusion",AML,,T
ALK,37,1,2,37,TRUE,1,"oncogene, fusion","ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour",neuroblastoma,"T, Mis, A"
ASXL2,37,1,3,37,TRUE,2,TSG,"melanoma, CCRCC, AML",,"O,N, F"
CCND1,37,1,1,37,TRUE,1,"oncogene, fusion","CLL, B-ALL, breast",,T
SND1,37,1,3,37,TRUE,1,"oncogene, fusion",pancreas acinar carcinoma,,T
CNBD1,36,1,4,36,TRUE,2,,"gastric cancer, colon cancer",,Mis
COX6C,36,1,4,36,TRUE,2,fusion,uterine leiomyoma,,T
MAFB,36,1,4,36,TRUE,1,"oncogene, fusion",MM,,T
PLCG1,36,1,4,36,TRUE,1,"oncogene, fusion",angiosarcoma,,Mis
TOP1,36,1,4,36,TRUE,1,fusion,AML*,,T
ERCC3,35,1,4,35,TRUE,1,TSG,,"skin basal cell, skin squamous cell, melanoma","Mis, S"
MSH2,35,1,2,35,TRUE,1,TSG,"colorectal, endometrial, ovarian","colorectal, endometrial, ovarian","D, Mis, N, F, S"
RECQL4,35,1,3,35,TRUE,1,"oncogene, TSG",,"osteosarcoma, skin basal cell, skin sqamous cell","N, F, S"
STRN,35,1,2,35,TRUE,1,fusion,"anaplastic thyroid, papillary thyroid, lung",,T
UBR5,35,1,4,35,TRUE,1,oncogene,"mantle cell lymphoma, gastric, colorectal",,"F, N, Mis, S"
EML4,34,1,2,34,TRUE,1,fusion,NSCLC,,T
MSH6,34,1,2,34,TRUE,1,TSG,colorectal,"colorectal, endometrial, ovarian","Mis, N, F, S"
MYC,34,1,2,34,TRUE,1,"oncogene, fusion","Burkitt lymphoma, amplified in other cancers, B-CLL",,"A, T"
NBN,34,1,4,34,TRUE,1,TSG,,"NHL, glioma, medulloblastoma, rhabdomyosarcoma","Mis, N, F"
SDC4,34,1,3,34,TRUE,1,fusion,NSCLC,,T
SMO,34,1,3,34,TRUE,1,oncogene,skin basal cell,,Mis
BRAF,33,1,3,33,TRUE,1,"oncogene, fusion","melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric",,"Mis, T, O"
FBXO11,33,1,2,33,TRUE,1,TSG,DLBCL,,"Mis, F, D"
HEY1,33,1,3,33,TRUE,1,"oncogene, fusion",mesenchymal chondrosarcoma,,T
NDRG1,33,1,2,33,TRUE,1,"TSG, fusion",prostate,,T
CREB3L2,32,1,3,32,TRUE,1,"oncogene, fusion",fibromyxoid sarcoma,,T
EXT1,32,1,4,32,TRUE,1,"TSG, fusion",,"exostoses, osteosarcoma","Mis, N, F, S"
FAM131B,32,1,3,32,TRUE,2,fusion,pilocytic astrocytoma,,T
KIAA1549,32,1,3,32,TRUE,2,fusion,pilocytic astrocytoma,,T
MET,32,1,3,32,TRUE,1,oncogene,"papillary renal, head-neck squamous cell",papillary renal,Mis
RAD21,32,1,4,32,TRUE,1,"oncogene, TSG","AML, endometrium, colorectal, lung",,"Mis, N, F"
TRIM24,32,1,3,32,TRUE,1,"oncogene, TSG, fusion",APL,,T
BCL11A,31,1,2,31,TRUE,1,"oncogene, fusion",B-CLL,,T
DSN1,31,1,4,31,FALSE,,,,,
EIF3E,31,1,4,31,TRUE,1,"TSG, fusion",colorectal,,T
REL,31,1,2,31,TRUE,1,oncogene,Hodgkin lymphoma,,A
DCTN1,30,1,2,30,TRUE,1,fusion,"inflammatory myofibroblastic tumour, Spitzoid tumour",,T
NCOA6,30,1,4,30,FALSE,,,,,
PAX8,30,1,4,30,TRUE,1,fusion,follicular thyroid,,T
RSPO2,30,1,4,30,TRUE,1,"TSG, fusion",colorectal,,T
SLC4A5,30,1,2,30,FALSE,,,,,
TTL,30,1,4,30,FALSE,,,,,
XPO1,30,1,2,30,TRUE,1,oncogene,CLL,,Mis
CCNE1,29,1,4,29,TRUE,1,oncogene,serous ovarian,,A
HIP1,29,1,3,29,TRUE,1,"oncogene, fusion","CMML, NSCLC",,T
RANBP2,29,1,4,29,TRUE,1,"TSG, fusion",inflammatory myofibroblastic tumour,,T
ASXL1,28,1,5,28,TRUE,1,TSG,"MDS, CMML",,"F, N, Mis"
CUX1,28,1,3,28,TRUE,1,"oncogene, TSG","endometrial, melanoma, colorectal, AML, MDS, other tumour types",,"N,F,S,Mis,O,T"
ELN,28,1,3,28,TRUE,2,fusion,B-ALL,,T
HNRNPA2B1,27,1,2,27,TRUE,1,"oncogene, fusion",prostate,,T
HOXA11,27,1,2,27,TRUE,1,"oncogene, TSG, fusion",CML,,T
HOXA13,27,1,2,27,TRUE,1,"oncogene, fusion",AML,,T
HOXA9,27,1,2,27,TRUE,1,"oncogene, TSG, fusion",AML*,,T
JAZF1,27,1,2,27,TRUE,2,fusion,endometrial stromal tumour,,T
FH,26,1,4,26,TRUE,1,TSG,,"leiomyomatosis, renal","Mis, N, F"
GNAS,26,1,2,26,TRUE,1,oncogene,"pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia",,Mis
NFATC2,26,1,2,26,TRUE,1,"oncogene, fusion",Ewing sarcoma,,T
AFF3,25,1,4,25,TRUE,1,"oncogene, fusion","ALL, T-ALL",,T
SBDS,25,1,3,25,TRUE,1,TSG,,"AML, MDS","F, N, O"
TPR,25,1,2,25,TRUE,1,fusion,"papillary thyroid, NSCLC",,T
IKZF1,24,1,2,24,TRUE,1,"TSG, fusion","ALL, DLBCL",,"D,T"
SS18L1,24,1,2,24,TRUE,1,fusion,synovial sarcoma,,T
ABL2,23,1,2,23,TRUE,1,"oncogene, fusion",AML,,T
AKAP9,23,1,3,23,TRUE,2,fusion,papillary thyroid,,T
CDC73,23,1,4,23,TRUE,1,TSG,parathyroid adenoma,"parathyroid adenoma, multiple ossifying jaw fibroma","Mis, N, F"
CDK6,23,1,3,23,TRUE,1,"oncogene, fusion",ALL,,T
ETV1,23,1,3,23,TRUE,1,"oncogene, fusion","Ewing sarcoma, prostate",,T
TRRAP,23,1,3,23,TRUE,1,oncogene,melanoma,,Mis
PTPRC,22,1,4,22,TRUE,1,TSG,T-ALL,,"Mis, N, S"
TIMM17A,21,1,4,21,FALSE,,,,,
CARD11,20,1,2,20,TRUE,1,oncogene,DLBCL,,Mis
PMS2,20,1,2,20,TRUE,1,TSG,,"colorectal, endometrial, ovarian, medulloblastoma, glioma","Mis, N, F"
PRRX1,20,1,2,20,TRUE,1,fusion,AML,,T
ELK4,19,1,4,19,TRUE,1,"oncogene, fusion",prostate,,T
FCGR2B,19,1,2,19,TRUE,1,"oncogene, fusion",ALL,,T
SDHC,19,1,2,19,TRUE,1,TSG,,"paraganglioma, pheochromocytoma","Mis, N, F"
SLC45A3,19,1,4,19,TRUE,1,fusion,prostate,,T
FCRL4,18,1,2,18,TRUE,1,"oncogene, fusion",B-NHL,,T
IRF6,18,1,4,18,FALSE,,,,,
LMNA,18,1,2,18,TRUE,1,fusion,Spitzoid tumour,,T
MDM4,18,1,4,18,TRUE,1,oncogene,"glioblastoma, bladder, retinoblastoma",,A
NTRK1,18,1,2,18,TRUE,1,"oncogene, TSG, fusion","papillary thyroid, Spitzoid tumour",,"T, A"
PBX1,18,1,2,18,TRUE,1,"oncogene, fusion","pre B-ALL, myoepithelioma",,T
PRCC,18,1,2,18,TRUE,1,fusion,papillary renal,,T
RIT1,18,1,2,18,FALSE,,,,,
ARNT,17,1,2,17,TRUE,1,"oncogene, TSG, fusion",AML,,T
BCL9,17,1,2,17,TRUE,1,"oncogene, fusion",B-ALL,,T
MLLT11,17,1,2,17,TRUE,1,fusion,ALL,,T
MUC1,17,1,2,17,TRUE,1,fusion,B-NHL,,T
PDE4DIP,17,1,2,17,TRUE,1,fusion,MPN,,T
RAC1,17,1,2,17,TRUE,1,oncogene,"melanoma, carcinoma",,"Mis, F"
SETDB1,17,1,2,17,TRUE,2,oncogene,malignant mesothelioma,,"F, Mis"
TPM3,17,1,2,17,TRUE,1,"TSG, fusion","papillary thyroid, ALCL, NSCLC, Spitzoid tumour",,T
EGFR,15,1,1,15,TRUE,1,oncogene,"glioma, NSCLC",NSCLC,"A, O, Mis"
TERT,8,1,2,8,TRUE,1,"oncogene, TSG","melanoma, glioblastoma, hepatocellular carcinoma, bladder, skin basal cell, skin squamous cell, mesothelioma, medulloblastoma, other tumour types",melanoma,Promoter Mis
LIFR,7,1,2,7,TRUE,1,fusion,salivary adenoma,,T
IL7R,6,1,2,6,TRUE,1,oncogene,"ALL, ETP ALL",,"Mis, O"
