sample,clonality,count,proportion
L_LTX119_SU_T1-R1,subclonal,8,0.5
L_LTX119_SU_T1-R2,clonal,7,0.7
L_LTX119_SU_T1-R2,subclonal,3,0.3
L_LTX172_SU_T1-R1,clonal,26,0.7878787878787878
L_LTX172_SU_T1-R1,subclonal,7,0.21212121212121213
L_LTX172_SU_T1-R2,clonal,26,0.8666666666666667
L_LTX172_SU_T1-R2,subclonal,4,0.13333333333333333
L_LTX172_SU_T1-R3,clonal,21,0.9130434782608695
L_LTX172_SU_T1-R3,subclonal,2,0.08695652173913043
L_LTX183_SU_LN1,clonal,8,0.4444444444444444
L_LTX183_SU_LN1,subclonal,10,0.5555555555555556
L_LTX183_SU_T1-R1,clonal,8,0.13559322033898305
L_LTX183_SU_T1-R1,subclonal,51,0.864406779661017
L_LTX183_SU_T1-R2,clonal,9,0.1323529411764706
L_LTX183_SU_T1-R2,subclonal,59,0.8676470588235294
L_LTX183_SU_T1-R3,clonal,9,0.15789473684210525
L_LTX183_SU_T1-R3,subclonal,48,0.8421052631578947
M_LTX013_SU_T1-R1,clonal,4,0.11764705882352941
M_LTX013_SU_T1-R1,subclonal,30,0.8823529411764706
M_LTX013_SU_T1-R2,clonal,4,0.5
M_LTX013_SU_T1-R2,subclonal,4,0.5
M_LTX013_SU_T1-R3,clonal,4,0.19047619047619047
M_LTX013_SU_T1-R3,subclonal,17,0.8095238095238095
M_LTX013_SU_T1-R4,clonal,4,0.2857142857142857
M_LTX013_SU_T1-R4,subclonal,10,0.7142857142857143
M_LTX015_SU_T1-R1,clonal,38,0.7916666666666666
M_LTX015_SU_T1-R1,subclonal,10,0.20833333333333334
M_LTX015_SU_T1-R2,clonal,54,0.84375
M_LTX015_SU_T1-R2,subclonal,10,0.15625
M_LTX015_SU_T1-R3,clonal,44,0.9565217391304348
M_LTX015_SU_T1-R3,subclonal,2,0.043478260869565216
M_LTX015_SU_T1-R4,clonal,51,0.8947368421052632
M_LTX015_SU_T1-R4,subclonal,6,0.10526315789473684
M_LTX016_SU_T1-R1,clonal,4,0.26666666666666666
M_LTX016_SU_T1-R1,subclonal,11,0.7333333333333333
M_LTX016_SU_T1-R2,clonal,4,0.2
M_LTX016_SU_T1-R2,subclonal,16,0.8
M_LTX016_SU_T1-R3,clonal,4,1
M_LTX016_SU_T1-R4,clonal,4,0.36363636363636365
M_LTX016_SU_T1-R4,subclonal,7,0.6363636363636364
M_LTX016_SU_T1-R5,clonal,4,0.25
M_LTX016_SU_T1-R5,subclonal,12,0.75
M_LTX025_SU_T1-R1,clonal,12,0.41379310344827586
M_LTX025_SU_T1-R1,subclonal,17,0.5862068965517241
M_LTX025_SU_T1-R2,clonal,31,0.5166666666666667
M_LTX025_SU_T1-R2,subclonal,29,0.48333333333333334
M_LTX025_SU_T1-R3,clonal,28,0.39436619718309857
M_LTX025_SU_T1-R3,subclonal,43,0.6056338028169014
M_LTX025_SU_T1-R4,clonal,28,0.509090909090909
M_LTX025_SU_T1-R4,subclonal,27,0.4909090909090909
M_LTX028_SU_T1-R1,clonal,5,0.06944444444444445
M_LTX028_SU_T1-R1,subclonal,67,0.9305555555555556
M_LTX028_SU_T1-R2,clonal,4,0.05714285714285714
M_LTX028_SU_T1-R2,subclonal,66,0.9428571428571428
M_LTX028_SU_T1-R3,clonal,4,0.05333333333333334
M_LTX028_SU_T1-R3,subclonal,71,0.9466666666666667
M_LTX028_SU_T1-R4,clonal,4,0.2857142857142857
M_LTX028_SU_T1-R4,subclonal,10,0.7142857142857143
M_LTX028_SU_T1-R5,clonal,4,0.06153846153846154
M_LTX028_SU_T1-R5,subclonal,61,0.9384615384615385
M_LTX028_SU_T1-R6,clonal,4,0.06451612903225806
M_LTX028_SU_T1-R6,subclonal,58,0.9354838709677419
M_LTX028_SU_T1-R7,clonal,7,0.07216494845360824
M_LTX028_SU_T1-R7,subclonal,90,0.9278350515463918
M_LTX028_SU_T1-R8,clonal,4,0.3076923076923077
M_LTX028_SU_T1-R8,subclonal,9,0.6923076923076923
M_LTX032_SU_T1-R1,clonal,33,0.532258064516129
M_LTX032_SU_T1-R1,subclonal,29,0.46774193548387094
M_LTX032_SU_T1-R2,clonal,27,0.46551724137931033
M_LTX032_SU_T1-R2,subclonal,31,0.5344827586206896
M_LTX032_SU_T1-R3,clonal,24,0.5853658536585366
M_LTX032_SU_T1-R3,subclonal,17,0.4146341463414634
M_LTX032_SU_T1-R4,clonal,43,0.6515151515151515
M_LTX032_SU_T1-R4,subclonal,23,0.3484848484848485
M_LTX035_SU_T1-R1,clonal,8,0.16666666666666666
M_LTX035_SU_T1-R1,subclonal,40,0.8333333333333334
M_LTX035_SU_T1-R2,clonal,5,1
M_LTX063_SU_T1-R1,clonal,5,0.2777777777777778
M_LTX063_SU_T1-R1,subclonal,13,0.7222222222222222
M_LTX063_SU_T1-R2,clonal,5,0.1
M_LTX063_SU_T1-R2,subclonal,45,0.9
M_LTX063_SU_T1-R3,clonal,5,0.10638297872340426
M_LTX063_SU_T1-R3,subclonal,42,0.8936170212765957
M_LTX063_SU_T1-R4,clonal,5,0.10416666666666667
M_LTX063_SU_T1-R4,subclonal,43,0.8958333333333334
M_LTX063_SU_T1-R5,clonal,5,0.1282051282051282
M_LTX063_SU_T1-R5,subclonal,34,0.8717948717948718
M_LTX063_SU_T1-R6,clonal,5,0.13157894736842105
M_LTX063_SU_T1-R6,subclonal,33,0.868421052631579
M_LTX073_SU_T1-R1,clonal,45,0.5056179775280899
M_LTX073_SU_T1-R1,subclonal,44,0.4943820224719101
M_LTX073_SU_T1-R2,clonal,52,0.7428571428571429
M_LTX073_SU_T1-R2,subclonal,18,0.2571428571428571
M_LTX073_SU_T1-R3,clonal,82,0.6212121212121212
M_LTX073_SU_T1-R3,subclonal,50,0.3787878787878788
M_LTX073_SU_T1-R4,clonal,60,0.7058823529411765
M_LTX073_SU_T1-R4,subclonal,25,0.29411764705882354
M_LTX074_SU_T1-R1,clonal,29,0.6590909090909091
M_LTX074_SU_T1-R1,subclonal,15,0.3409090909090909
M_LTX074_SU_T1-R2,clonal,26,0.45614035087719296
M_LTX074_SU_T1-R2,subclonal,31,0.543859649122807
M_LTX074_SU_T1-R3,clonal,37,0.6379310344827587
M_LTX074_SU_T1-R3,subclonal,21,0.3620689655172414
M_LTX074_SU_T1-R4,clonal,19,0.3220338983050847
M_LTX074_SU_T1-R4,none,1,0.01694915254237288
M_LTX074_SU_T1-R4,subclonal,39,0.6610169491525424
M_LTX080_SU_T1-R1,clonal,17,0.7391304347826086
M_LTX080_SU_T1-R1,subclonal,6,0.2608695652173913
M_LTX080_SU_T1-R2,clonal,18,0.9
M_LTX080_SU_T1-R2,subclonal,2,0.1
M_LTX080_SU_T1-R3,clonal,21,0.875
M_LTX080_SU_T1-R3,subclonal,3,0.125
M_LTX080_SU_T1-R4,clonal,18,0.72
M_LTX080_SU_T1-R4,subclonal,7,0.28
M_LTX085_SU_T1-R1,clonal,6,0.16216216216216217
M_LTX085_SU_T1-R1,subclonal,31,0.8378378378378378
M_LTX085_SU_T1-R2,clonal,6,0.35294117647058826
M_LTX085_SU_T1-R2,subclonal,11,0.6470588235294118
M_LTX093_SU_T1-R1,clonal,12,0.375
M_LTX093_SU_T1-R1,subclonal,20,0.625
M_LTX093_SU_T1-R2,clonal,9,0.20930232558139536
M_LTX093_SU_T1-R2,subclonal,34,0.7906976744186046
M_LTX093_SU_T1-R3,clonal,10,0.5555555555555556
M_LTX093_SU_T1-R3,subclonal,8,0.4444444444444444
M_LTX093_SU_T1-R4,clonal,8,0.2
M_LTX093_SU_T1-R4,subclonal,32,0.8
M_LTX118_SU_T1-R1,clonal,42,0.8936170212765957
M_LTX118_SU_T1-R1,subclonal,5,0.10638297872340426
M_LTX118_SU_T1-R2,clonal,33,0.8461538461538461
M_LTX118_SU_T1-R2,subclonal,6,0.15384615384615385
M_LTX133_SU_T1-R1,clonal,36,0.7346938775510204
M_LTX133_SU_T1-R1,subclonal,13,0.2653061224489796
M_LTX133_SU_T1-R2,clonal,26,0.4126984126984127
M_LTX133_SU_T1-R2,subclonal,37,0.5873015873015873
M_LTX133_SU_T1-R3,clonal,24,0.6486486486486487
