sample,category,fragment_count,total_fragment_size_bp,total_fragment_size_mb
A_LTX143_SU_T1-R1,1,1,0,0
A_LTX143_SU_T1-R1,2,10,133094056,133.094056
A_LTX143_SU_T1-R1,3,30,549743774,549.743774
A_LTX143_SU_T1-R1,4,14,387513531,387.513531
A_LTX143_SU_T1-R1,5,3,2284532,2.284532
A_LTX143_SU_T1-R1,6,3,144391942,144.391942
A_LTX143_SU_T1-R1,7,0,0,0
A_LTX143_SU_T1-R1,8,0,0,0
A_LTX143_SU_T1-R2,1,0,0,0
A_LTX143_SU_T1-R2,2,13,206187717,206.187717
A_LTX143_SU_T1-R2,3,21,1012403181,1012.403181
A_LTX143_SU_T1-R2,4,1,0,0
A_LTX143_SU_T1-R2,5,1,1345211,1.345211
A_LTX143_SU_T1-R2,6,0,0,0
A_LTX143_SU_T1-R2,7,2,144258335,144.258335
A_LTX143_SU_T1-R2,8,0,0,0
A_LTX177_SU_T1-R1,1,0,0,0
A_LTX177_SU_T1-R1,2,24,814583101,814.583101
A_LTX177_SU_T1-R1,3,3,1578608,1.578608
A_LTX177_SU_T1-R1,4,0,0,0
A_LTX177_SU_T1-R1,5,0,0,0
A_LTX177_SU_T1-R1,6,0,0,0
A_LTX177_SU_T1-R1,7,0,0,0
A_LTX177_SU_T1-R1,8,0,0,0
A_LTX177_SU_T1-R2,1,2,546722,0.546722
A_LTX177_SU_T1-R2,2,3,625597,0.625597
A_LTX177_SU_T1-R2,3,7,8075548,8.075548
A_LTX177_SU_T1-R2,4,0,0,0
A_LTX177_SU_T1-R2,5,0,0,0
A_LTX177_SU_T1-R2,6,0,0,0
A_LTX177_SU_T1-R2,7,0,0,0
A_LTX177_SU_T1-R2,8,0,0,0
A_LTX210_SU_LN1,1,0,0,0
A_LTX210_SU_LN1,2,5,781240,0.78124
A_LTX210_SU_LN1,3,38,448511183,448.511183
A_LTX210_SU_LN1,4,11,126338319,126.338319
A_LTX210_SU_LN1,5,3,30730395,30.730395
A_LTX210_SU_LN1,6,1,89527298,89.527298
A_LTX210_SU_LN1,7,0,0,0
A_LTX210_SU_LN1,8,0,0,0
A_LTX210_SU_LN2,1,0,0,0
A_LTX210_SU_LN2,2,2,610033,0.610033
A_LTX210_SU_LN2,3,34,465151367,465.151367
A_LTX210_SU_LN2,4,10,110223439,110.223439
A_LTX210_SU_LN2,5,3,120357369,120.357369
A_LTX210_SU_LN2,6,0,0,0
A_LTX210_SU_LN2,7,0,0,0
A_LTX210_SU_LN2,8,1,316188,0.316188
A_LTX210_SU_T1-R1,1,0,0,0
A_LTX210_SU_T1-R1,2,9,22113684,22.113684
A_LTX210_SU_T1-R1,3,35,405325769,405.325769
A_LTX210_SU_T1-R1,4,5,109989425,109.989425
A_LTX210_SU_T1-R1,5,2,31003741,31.003741
A_LTX210_SU_T1-R1,6,2,109214060,109.21406
A_LTX210_SU_T1-R1,7,0,0,0
